Flits Received per Port
Cycle: 1000 Class: 0 Subnet: 0
 Router 8: [ 0:135 1:260 2:233 3:120 4:255 ]
 Router 9: [ 0:0 1:179 2:215 3:140 4:205 ]
 Router 10: [ 0:177 1:0 2:254 3:250 4:215 ]
 Router 11: [ 0:275 1:181 2:260 3:265 4:188 ]
 Router 12: [ 0:240 1:240 2:254 3:219 4:160 ]
 Router 13: [ 0:197 1:240 2:216 3:243 4:190 ]
 Router 14: [ 0:0 1:175 2:238 3:320 4:208 ]
 Router 15: [ 0:155 1:0 2:185 3:280 4:174 ]
 Router 16: [ 0:240 1:141 2:155 3:220 4:225 ]
 Router 17: [ 0:205 1:225 2:170 3:220 4:230 ]
 Router 18: [ 0:115 1:233 2:155 3:251 4:205 ]
 Router 19: [ 0:0 1:184 2:100 3:240 4:175 ]
 Router 20: [ 0:150 1:0 2:0 3:210 4:195 ]
 Router 21: [ 0:240 1:133 2:0 3:155 4:185 ]
 Router 22: [ 0:245 1:215 2:0 3:134 4:205 ]
 Router 23: [ 0:147 1:195 2:0 3:170 4:225 ]
 Router 24: [ 0:0 1:135 2:0 3:180 4:160 ]
Cycle: 7000 Class: 0 Subnet: 0
 Router 0: [ 0:120 1:0 2:161 3:0 4:215 ]
 Router 1: [ 0:210 1:150 2:194 3:0 4:190 ]
 Router 2: [ 0:195 1:230 2:161 3:0 4:170 ]
 Router 3: [ 0:130 1:245 2:250 3:0 4:180 ]
 Router 4: [ 0:0 1:140 2:169 3:0 4:195 ]
 Router 5: [ 0:220 1:0 2:179 3:160 4:170 ]
 Router 6: [ 0:300 1:130 2:245 3:150 4:195 ]
 Router 7: [ 0:273 1:250 2:237 3:104 4:200 ]
 Router 8: [ 0:150 1:230 2:315 3:190 4:235 ]
 Router 9: [ 0:0 1:185 2:170 3:165 4:205 ]
 Router 10: [ 0:124 1:0 2:206 3:285 4:165 ]
 Router 11: [ 0:225 1:145 2:270 3:200 4:180 ]
 Router 12: [ 0:225 1:210 2:230 3:167 4:155 ]
 Router 13: [ 0:135 1:187 2:329 3:252 4:195 ]
 Router 14: [ 0:0 1:85 2:165 3:260 4:170 ]
 Router 15: [ 0:165 1:0 2:130 3:245 4:154 ]
 Router 16: [ 0:240 1:100 2:207 3:210 4:220 ]
 Router 17: [ 0:265 1:215 2:130 3:168 4:197 ]
 Router 18: [ 0:160 1:242 2:194 3:228 4:260 ]
 Router 19: [ 0:0 1:145 2:90 3:225 4:195 ]
 Router 20: [ 0:145 1:0 2:0 3:160 4:165 ]
 Router 21: [ 0:285 1:148 2:0 3:150 4:165 ]
 Router 22: [ 0:233 1:195 2:0 3:130 4:225 ]
 Router 23: [ 0:157 1:208 2:0 3:145 4:180 ]
 Router 24: [ 0:0 1:90 2:0 3:200 4:185 ]
